test_id,repeat_idx,mode,scenario,P_off,P_res_s,P_res_b,p_0_s,p_0_b,offchain_time,total_gas,match_time,match_success,failure_reason,P_on,PDR,buyer_addr,seller_addr,SDF,ECE
S1,47,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",88.66,88.56826712025249,126.83888308156881,118.70823640682126,77.36115864736459,0.0,681610,0.1046,1,No matching event found,96.2991,0.08619973970807132,buyer_S1_47,seller_S1_47,0.7020044016945477,0.0
S1,48,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",92.9,56.011999859038745,127.21310320092903,63.89951318220256,115.51438244339462,0.0,677300,0.0956,1,No matching event found,93.6419,0.008002240938226414,buyer_S1_48,seller_S1_48,0.9714983564191177,0.0
S1,49,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",103.34,77.78349090526892,163.70177005251182,102.28696441415838,141.21933765180287,0.0,677300,0.0845,1,No matching event found,109.4995,0.059628750745629865,buyer_S1_49,seller_S1_49,0.869141577432872,0.0
S1,50,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",84.23,54.85545269303687,110.73269202839589,60.1493135364846,71.1526549746538,0.0,681079,0.0925,1,No matching event found,81.5326,0.032007083764785456,buyer_S1_50,seller_S1_50,0.9774242182376731,-1.8866896176355095
S1,51,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",93.36,80.7611065236124,135.5133692866982,88.63702161285866,88.91073452000954,0.0,681079,0.1003,1,No matching event found,92.5211,0.00901158152687101,buyer_S1_51,seller_S1_51,0.7147855245229471,-26.38067395192511
S1,52,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",86.67,55.74014463683488,102.46345027030705,84.991791652452,61.746964110887006,0.0,681079,0.1022,1,No matching event found,82.8889,0.0435976639883497,buyer_S1_52,seller_S1_52,0.9189461769649279,0.0
S1,53,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",88.15,85.87324652411188,111.70391351420567,96.5382963149526,101.39477153068594,0.0,677284,0.0914,1,No matching event found,91.4625,0.03761414971982443,buyer_S1_53,seller_S1_53,0.7163805324125637,-2.090321103053808
S1,54,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",105.87,62.13583738261757,150.7387789429224,69.52060207271599,141.5123973610133,0.0,677288,0.101,1,No matching event found,111.4395,0.05264641213493126,buyer_S1_54,seller_S1_54,0.943543727226873,0.0
S1,55,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",85.87,93.54509748056773,125.8552983931094,153.25202787010463,61.32967692563582,0.0,681610,0.0959,1,No matching event found,97.555,0.13606857473048575,buyer_S1_55,seller_S1_55,0.6241063938378598,0.0
S1,56,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",98.1,95.66899650308146,105.93772483767495,158.1278527125114,42.63930988861206,0.0,682165,0.0966,1,No matching event found,102.1939,0.041739849926359374,buyer_S1_56,seller_S1_56,0.8645850504256385,0.0
